region_list,model_name,model_cumulative,burke_growth,burke_level,newell_growth,newell_level
Guinea,CNRM-ESM2-1,-17.900752428470813,-99.99999999999999,-59.7670479243505,-98.2278690224133,-30.50258818218036
Guyana,CNRM-ESM2-1,-9.698195198202797,-99.99999999999997,-61.078330502857355,-98.20891636005112,-34.261170517094804
Honduras,CNRM-ESM2-1,-1.0181488675645278,-99.99999999838596,-54.40521979374206,-96.8726262184282,-46.59785868449613
Hungary,CNRM-ESM2-1,11.683758944388888,-99.99980618473124,-33.352994952230056,-44.40347246915874,-5.258759123659279
Iceland,CNRM-ESM2-1,33.565797952254314,2343.8170334480083,-2.06429399043071,129.59239331899533,3.4348407567182604
India,CNRM-ESM2-1,-11.963461218156791,-99.99999999873411,-61.765889897807405,-87.02895541073937,-42.65428416188786
Indonesia,CNRM-ESM2-1,-5.936410106666012,-99.99999999862385,-57.084001253632664,-95.8616580125271,-37.79854436982565
Iran,CNRM-ESM2-1,-24.845155157222763,-99.9999999999979,-73.71207578972236,-98.73890577600895,-68.59775506922986
Iraq,CNRM-ESM2-1,-47.619729842808425,-100.0,-89.48635399210383,-99.97704527507375,-86.38970256528937
Ireland,CNRM-ESM2-1,3.826776987958258,-99.69373896038334,-17.376302442337742,-5.943375780282128,-4.720016937920923
Italy,CNRM-ESM2-1,-17.556895202996138,-99.9999947303639,-44.319555071100744,-82.76086679468716,-25.336181067459517
Japan,CNRM-ESM2-1,24.867321796053645,-99.99918091025617,-35.162526891533254,-36.87764065761401,-18.110682625960038
Jordan,CNRM-ESM2-1,-53.789696889832136,-100.0,-82.62579631821947,-99.99637586273165,-80.08126292269046
Kazakhstan,CNRM-ESM2-1,162.3410323602537,-99.94212614494066,-27.492832385641663,97.54899881818287,12.812388417161092
Kenya,CNRM-ESM2-1,-41.99982314134577,-99.99999999999994,-53.79256132998973,-99.14792048159129,-36.278066812051776
Kosovo,CNRM-ESM2-1,-45.20158745540409,-99.99999717488463,-53.28342100512333,-94.46823758281259,-42.42087505663993
Kyrgyzstan,CNRM-ESM2-1,-1.8675549882198328,153037.93951302514,-23.23069320472434,350.69981318687576,-15.574413276426707
Laos,CNRM-ESM2-1,-4.060299082805818,-99.99999999998627,-51.722993049790325,-99.44006236471796,-45.35140065234619
Latvia,CNRM-ESM2-1,-6.520435869469255,-76.52013720797915,-14.898298331157056,187.02882013371595,14.64690085680338
Lesotho,CNRM-ESM2-1,1.3310281386878842,-99.99999995190953,-47.86721954614476,-96.80484565999404,-34.89278960385862
Liberia,CNRM-ESM2-1,-19.195318878578504,-99.9999999999984,-58.03222250656075,-97.93657960865903,-36.1653366302536
Lithuania,CNRM-ESM2-1,-21.632543152499107,-91.18380951396936,-16.47864045071633,129.1809520844181,12.033043625638594
Madagascar,CNRM-ESM2-1,-38.924639590006926,-99.99999999999899,-59.589952959851054,-99.90079731780378,-53.759641006709444
Malawi,CNRM-ESM2-1,-27.821173010016263,-99.99999999999997,-48.220476211676164,-99.76042364333857,-36.44574462766868
Malaysia,CNRM-ESM2-1,2.460160761586594,-99.99999999960588,-55.46489150935301,-97.54781118395906,-36.29529822764448
Mali,CNRM-ESM2-1,-27.848471741032434,-100.0,-47.63271664823539,-67.2359754659604,5.109818676645444
Mauritania,CNRM-ESM2-1,68.98263401065734,-100.0,-28.789082056555316,-99.72540296252787,-9.13994773479772
Mexico,CNRM-ESM2-1,-25.930946629645835,-99.99999999998728,-52.655482405398566,-98.77660072237015,-46.58820773349932
Moldova,CNRM-ESM2-1,-42.78240064460766,-99.99999494716899,-54.805036048750885,-58.9706000546293,-39.98781408704328
Mongolia,CNRM-ESM2-1,11.327504995776527,187781.8746032566,4.360024990939371,597.17976159511,14.816787346375516
